ID,Clinic Name,Clinic URL,Telephone Number,Fax Number,Address,Opening Hours
21,326 AVENUE 3 CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=1780,62801567,63827044,"BLK 326 SERANGOON AVE 3, #01-382 SINGAPORE 550326","Eve of Chinese New Year (15/02/2018) : Closed | Chinese New Year (16/02/2018) : Closed | Chinese New Year (17/02/2018) : Closed | Chinese New Year (18/02/2018) : Closed | Monday to Friday : 08:30 am to 12:00 pm, 01:00 pm to 03:30 pm, 06:30 pm to 09:00 pm | Saturday and Sunday : 08:30 am to 12:00 pm, 06:30 pm to 09:00 pm"
22,338 FAMILY CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=1790,64549408,64549409,"BLK 338 ANG MO KIO AVE 1, #01-1615 SINGAPORE 560338","Monday to Thursday : 08:30 am to 12:30 pm, 02:00 pm to 04:30 pm, 07:00 pm to 09:00 pm"
23,360 CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=48429,82180926,,"BLK 407 ANG MO KIO AVENUE 10, TECK GHEE SQUARE, #01-749 SINGAPORE 560407","Public Holiday : Closed | Monday to Friday : 08:00 am to 02:00 pm, 05:00 pm to 08:30 pm | Saturday : 08:00 am to 02:00 pm | Sunday : Closed"
24,405 PROCROSS MEDICAL CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=47519,87896779,67022840,"BLK 405 JURONG WEST STREET 42, HONG KAH COURT, #01-K1 SINGAPORE 640405",
25,411 PROCROSS MEDICAL CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=47514,98765297,67022840,"BLK 411 JURONG WEST STREET 42, #01-K1 SINGAPORE 640411",
26,57 MEDICAL CLINIC (GEYLANG BAHRU),https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=47203,66947078,91525375,"BLK 57 GEYLANG BAHRU, #01-3505 SINGAPORE 330057",Public Holiday : 09:00 am to 12:00 pm | Monday and Wednesday : 06:00 pm to 09:00 pm | Monday to Saturday : 08:00 am to 01:00 pm | Thursday : 06:00 pm to 09:00 pm | Sunday : 09:00 am to 12:00 pm
27,57 MEDICAL CLINIC (KALLANG AIRPORT),https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=48264,65189262,,"BLK 32 CASSIA CRESCENT, #01-62 SINGAPORE 390032",Monday to Saturday : 08:00 am to 01:00 pm | Monday and Wednesday : 06:00 pm to 09:00 pm | Thursday : 06:00 pm to 09:00 pm | Sunday and Public Holiday : 09:00 am to 12:00 pm
28,57 MEDICAL CLINIC (PARKWAY CENTRE),https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=47984,62149612,91525375,"1 MARINE PARADE CENTRAL, PARKWAY CENTRE, #02-05 SINGAPORE 449408","Public Holiday : 09:00 am to 12:00 pm | Monday and Wednesday : 02:00 pm to 05:00 pm, 06:00 pm to 09:00 pm | Monday to Saturday : 08:00 am to 01:00 pm | Thursday : 02:00 pm to 05:00 pm, 06:00 pm to 09:00 pm | Sunday : 09:00 am to 12:00 pm, 01:00 pm to 05:00 pm"
29,57 MEDICAL CLINIC (PEK KIO),https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=48353,65399237,,"BLK 41 CAMBRIDGE ROAD, #01-17 SINGAPORE 210041",Public Holiday : 09:00 am to 12:00 pm | Monday and Wednesday : 06:00 pm to 09:00 pm | Monday to Saturday : 08:00 am to 01:00 pm | Thursday : 06:00 pm to 09:00 pm | Sunday : 09:00 am to 12:00 pm
30,57 MEDICAL CLINIC (WOODLANDS),https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=48359,65399236,,"BLK 166 WOODLANDS STREET 13, #01-533 SINGAPORE 730166",Public Holiday : 09:00 am to 12:00 pm | Monday and Wednesday : 06:00 pm to 09:00 pm | Monday to Saturday : 08:00 am to 01:00 pm | Thursday : 06:00 pm to 09:00 pm | Sunday : 09:00 am to 12:00 pm
31,57 MEDICAL CLINIC (YISHUN),https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=47487,62353490,66947025,"BLK 618 YISHUN RING ROAD, #01-3238 SINGAPORE 760618",Public Holiday : 09:00 am to 12:00 pm | Monday and Wednesday : 06:00 pm to 09:00 pm | Monday to Saturday : 08:00 am to 01:00 pm | Thursday : 06:00 pm to 09:00 pm | Sunday : 09:00 am to 12:00 pm
32,8 MEDICAL AESTHETIC CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=47020,63333308,31575062,"321 ALEXANDRA ROAD, ALEXANDRA CENTRAL, #02-22 SINGAPORE 159971",
33,8 MEDICAL AESTHETIC CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=45466,97779403,31575062,"51 CUPPAGE ROAD, #01-03 SINGAPORE 229469",
34,8 MEDICAL AESTHETIC CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=46270,67336389,31575062,"1 GRANGE ROAD, ORCHARD BUILDING, #06-05 SINGAPORE 239693",
35,8 MEDICAL AESTHETIC CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=46838,98636260,31575062,"5 TAMPINES CENTRAL 1, TAMPINES PLAZA 2, #03-01 SINGAPORE 529541",
36,8 MEDICAL AESTHETIC CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=47491,31575946,31575062,"80 MARINE PARADE ROAD, PARKWAY PARADE, #05-20 SINGAPORE 449269",
37,8 MEDICAL AESTHETIC CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=48545,63544892,31575062,"1 GOLDHILL PLAZA, GOLDHILL PLAZA, #01-27 SINGAPORE 308899",
38,81 FAMILY CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=1820,63466768,62142410,"BLK 86 MARINE PARADE CENTRAL, #01-670 SINGAPORE 440086","Monday to Friday : 10:00 am to 02:00 pm, 07:30 pm to 10:00 pm | Saturday : 10:00 am to 02:00 pm | Sunday and Public Holiday : Closed"
39,818 FAMILY CLINIC AND SURGERY,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=1840,63636903,63636903,"818 WOODLANDS ST 82, #01-421 SINGAPORE 730818","Eve of Chinese New Year (24/01/2020) : 08:30 am to 12:00 pm | Chinese New Year (25/01/2020) : 08:30 am to 12:00 pm | Chinese New Year (27/01/2020) : 08:30 am to 12:00 pm | Monday to Friday : 08:30 am to 12:30 pm, 02:00 pm to 04:00 pm, 07:00 pm to 09:00 pm | Saturday and Public Holiday : 08:30 am to 12:30 pm | Sunday : 07:00 pm to 09:00 pm"
40,888 PLAZA FAMILY CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=37811,63688762,63688763,"888 WOODLANDS DRIVE 50, 888 PLAZA, #01-739 SINGAPORE 730888",Monday to Friday : 08:30 am to 09:30 pm | Saturday : 08:30 am to 01:00 pm | Sunday and Public Holiday : 09:00 am to 09:00 pm
41,94 DAWSON FAMILY CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=48199,69041729,90069021,"BLK 94A DAWSON ROAD, #01-01 SINGAPORE 142094","Monday to Friday : 08:30 am to 01:00 pm, 06:00 pm to 10:00 pm | Saturday : 09:00 am to 12:00 pm | Sunday : 06:00 pm to 10:00 pm"
42,@JUST BRACES.DENTAL CENTRE,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=45599,63387580,67344578,"3 KILLINEY ROAD, WINSLAND HOUSE I, #09-02 SINGAPORE 239519",
43,A & A CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=43450,63390883,63390883,"BLK 570B WOODLANDS AVENUE 1, #01-07 SINGAPORE 732570","Eve of Chinese New Year (24/01/2020) : 09:30 am to 12:30 pm | Monday : 09:00 am to 01:00 pm, 06:00 pm to 09:00 pm | Tuesday : 09:00 am to 01:00 pm | Wednesday : 09:00 am to 01:00 pm, 06:00 pm to 09:00 pm | Thursday : 09:00 am to 01:00 pm | Friday : 09:00 am to 01:00 pm, 06:00 pm to 09:00 pm | Saturday : 09:00 am to 01:00 pm"
44,A CLINIC FOR WOMEN,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=1890,64633366,64638866,"820 THOMSON ROAD, MOUNT ALVERNIA HOSPITAL MEDICAL CENTRE D, #08-58 SINGAPORE 574623",Monday and Friday : 09:00 am to 06:00 pm | Tuesday and Thursday : 02:00 pm to 08:00 pm | Saturday : 09:00 am to 01:00 pm
45,"A COMPANY FOR WOMEN, OBSTETRICS & GYNAECOLOGY",https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=1900,63336181,63336198,"1 ORCHARD BOULEVARD, CAMDEN MEDICAL CENTRE, #03-05/06 SINGAPORE 248649","Public Holiday : Closed | Monday : 08:00 am to 01:00 pm, 02:00 pm to 05:30 pm | Tuesday : 08:00 am to 01:00 pm, 02:00 pm to 05:30 pm | Wednesday : 08:00 am to 01:00 pm, 02:00 pm to 05:30 pm | Thursday : 08:00 am to 01:00 pm, 02:00 pm to 05:30 pm | Friday : 08:00 am to 01:00 pm, 02:00 pm to 05:30 pm | Saturday : 08:00 am to 01:00 pm | Sunday : Closed"
46,A DENTAL CLINIC @ CLEMENTI CENTRAL PTE LTD,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=39600,6774168,65690284,"BLK 450 CLEMENTI AVENUE 3, #01-285 SINGAPORE 120450","Monday to Friday : 09:00 am to 01:00 pm, 02:00 pm to 05:00 pm, 06:00 pm to 09:00 pm | Saturday : 09:00 am to 01:00 pm, 02:00 pm to 05:00 pm | Sunday and Public Holiday : 09:00 am to 01:00 pm"
47,A DENTAL CLINIC @ JURONG EAST CENTRAL,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=36980,65690280,65690284,"BLK 133 JURONG GATEWAY ROAD, #01-291 SINGAPORE 600133","Monday to Thursday : 09:00 am to 01:00 pm, 02:00 pm to 05:00 pm, 06:00 pm to 09:00 pm | Friday and Saturday : 09:00 am to 01:00 pm, 02:00 pm to 05:00 pm | Sunday and Public Holiday : 09:00 am to 01:00 pm"
48,A FAMILY CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=48585,62262066,62262066,"7 ERSKINE ROAD, SINGAPORE 069320",
49,A HEALING HEART MEDICAL CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=47748,69621362,98238363,"BLK 134 GEYLANG EAST AVENUE 1, GEYLANG EAST GROVE, #01-227 SINGAPORE 380134","Monday to Friday : 09:00 am to 12:30 pm, 02:00 pm to 06:00 pm | Saturday : 09:00 am to 01:00 pm | Sunday and Public Holiday : Closed"
50,A JAGA-ME MEDICAL CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=48553,67173737,67173737,"77 AYER RAJAH CRESCENT, #02-31 SINGAPORE 139954",
51,A L LIM CLINIC FOR WOMEN PTE LTD,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=33501,62553333,62546966,"339 THOMSON ROAD, THOMSON MEDICAL CENTRE, #05-04 SINGAPORE 307677","Monday to Friday : 09:30 am to 01:00 pm, 02:00 pm to 04:30 pm | Saturday : 09:30 am to 01:00 pm"
52,A LIFE CLINIC PTE LTD,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=3460,67372283,62561328,"10 SINARAN DRIVE, NOVENA MEDICAL CENTER, #09-21 SINGAPORE 307506","Eve of Chinese New Year (15/02/2018) : 09:00 am to 12:30 pm | Chinese New Year (16/02/2018) : Closed | Chinese New Year (17/02/2018) : Closed | Chinese New Year (18/02/2018) : Closed | Monday to Friday : 09:00 am to 12:30 pm, 02:00 pm to 04:30 pm | Saturday and Saturday : 09:00 am to 12:30 pm | Sunday and Public Holiday : Closed"
53,A LINE DENTAL BRACES CLINIC PTE LTD,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=1910,68372722,,"1 COLEMAN STREET, THE ADELPHI, #03-01 SINGAPORE 179803","Public Holiday : Closed | Monday : 10:00 am to 01:00 pm, 02:00 pm to 07:00 pm | Tuesday : Closed | Wednesday to Saturday : 10:00 am to 01:00 pm, 02:00 pm to 07:00 pm | Sunday : Closed"
54,A LINE DENTAL BRACES CLINIC PTE LTD,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=42300,68370147,68370541,"1 COLEMAN STREET, THE ADELPHI, #03-03 SINGAPORE 179803","Monday : 10:00 am to 01:00 pm, 02:00 pm to 07:00 pm | Tuesday : Closed | Wednesday to Saturday : 10:00 am to 01:00 pm, 02:00 pm to 07:00 pm | Sunday : Closed"
55,A MARITIME CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=48198,62260096,,"BLK 7 EVERTON PARK, EVERTON PARK, #01-23 SINGAPORE 080007",
56,A MEDICAL CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=46973,62262066,62262066,"BLK 1 EVERTON PARK, EVERTON PARK, #01-27 SINGAPORE 081001","Eve of Chinese New Year (31/01/2022) : 08:00 am to 02:00 pm | Chinese New Year (01/02/2022) : 08:00 am to 01:00 pm | Chinese New Year (02/02/2022) : 08:00 am to 01:00 pm | Monday to Thursday : 08:00 am to 02:00 pm, 06:30 pm to 10:00 pm | Monday to Sunday : 08:00 am to 02:00 pm"
57,"A SPECIALIST CLINIC FOR SINUS, SNORING & ENT",https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=46658,62537296,62537157,"38 IRRAWADDY ROAD, MOUNT ELIZABETH NOVENA SPECIALIST CENTRE, #08-45 SINGAPORE 329563","Monday to Friday : 09:00 am to 01:00 pm, 02:00 pm to 05:00 pm | Saturday : 08:30 am to 12:00 am"
58,A ST*R DENTAL SURGERY,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=36550,64589595,64589595,"BLK 330 ANG MO KIO AVENUE 1, #01-1805 SINGAPORE 560330",
59,A ST*R DENTAL SURGERY,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=42850,62629595,62629595,"BLK 25 GHIM MOH LINK, #01-09 SINGAPORE 270025",Monday to Friday : 09:00 am to 09:00 pm | Saturday : 09:00 am to 05:00 pm | Sunday and Public Holiday : 10:00 am to 02:00 pm
60,A&M MEDICAL CENTRE,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=44401,63381988,63379050,"190 CLEMENCEAU AVENUE, SINGAPORE SHOPPING CENTRE, #04-17 SINGAPORE 239924",Friday : 01:30 pm to 05:30 pm | Saturday : 10:00 am to 02:00 pm
61,A+FFORDABLE CLINIC (AMK AVE 10),https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=46881,69638987,69123715,"BLK 449 ANG MO KIO AVENUE 10, #01-1715 SINGAPORE 560449",
62,"A. B. JOHN EAR, NOSE & THROAT CLINIC & SURGERY",https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=1920,67359654,67375912,"3 MT ELIZABETH, MOUNT ELIZABETH MEDICAL CENTRE, #15-10 SINGAPORE 228510",
63,A.D.S CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=44555,63363128,63363968,"3 TEMASEK BOULEVARD, SUNTEC CITY MALL, #2-608/608A SINGAPORE 038983",Chinese New Year (Eve) (27/01/2017) : 10:00 am to 05:00 pm | Chinese New Year (28/01/2017) : Closed | Chinese New Year (29/01/2017) : Closed | Chinese New Year (Monday) (30/01/2017) : Closed
64,A.D.S. CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=44554,63363128,63363968,"3 TEMASEK BOULEVARD, SUNTEC CITY MALL, #02-608/608A SINGAPORE 038983",Public Holiday : 10:00 am to 05:00 pm | Monday to Friday : 11:00 am to 09:00 pm | Saturday and Sunday : 10:00 am to 05:00 pm
65,A.M AESTHETICS,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=46823,62592860,63112905,"BLK 500 LORONG 6 TOA PAYOH, #B1-30 SINGAPORE 310500",
66,A.M AESTHETICS,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=46891,69081917,63112905,"3155 COMMONWEALTH AVENUE WEST, THE CLEMENTI MALL, #04-50 SINGAPORE 129588",
67,A.M AESTHETICS,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=47695,63112926,63112905,"BLK 253 SERANGOON CENTRAL DRIVE, #01-193/02-193 SINGAPORE 550253",
68,A.M AESTHETICS,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=47775,63112926,63112905,"252 NORTH BRIDGE ROAD, RAFFLES CITY SHOPPING CENTRE, #B2-06 AND 07 SINGAPORE 179103",
69,A.M AESTHETICS,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=47825,63112926,63112905,"10 EUNOS ROAD 8, SINGAPORE POST CENTRE, #02-140/141 SINGAPORE 408600",
70,A.M AESTHETICS,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=48256,63112926,63112905,"181 ORCHARD ROAD, ORCHARD CENTRAL, #05-33/36 SINGAPORE 238896",
71,A.M AESTHETICS,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=48305,63112926,63112905,"6 EU TONG SEN STREET, THE CENTRAL, #04-77 TO 82 SINGAPORE 059817",
72,A.M. AESTHETICS,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=46932,68449768,66341598,"311 NEW UPPER CHANGI ROAD, BEDOK MALL, #B1-12 SINGAPORE 467360",
73,A.M.AESTHETICS,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=46877,62199819,63112905,"21 CHOA CHU KANG AVENUE 4, LOT ONE, SHOPPERS' MALL, #02-26 SINGAPORE 689812",
74,A1 MEDICAL CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=46946,64930198,64930189,"BLK 418 BEDOK NORTH AVENUE 2, LINEAR GREEN @ BEDOK, #01-63 SINGAPORE 460418","Public Holiday : Closed | Monday to Friday : 09:00 am to 01:00 pm, 06:30 pm to 10:00 pm | Saturday : 09:00 am to 12:00 pm | Sunday : 07:00 pm to 10:00 pm"
75,AARE UROCARE,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=48081,62524681,62524781,"6 NAPIER ROAD, GLENEAGLES MEDICAL CENTRE, #10-06 SINGAPORE 258499",
76,ABBOTT MANUFACTURING SINGAPORE MEDICAL CENTRE,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=35945,65008883,65008845,"BLK 26 TUAS SOUTH AVENUE 10, SINGAPORE 637437",Eve of Chinese New Year (15/02/2018) : 08:30 am to 05:00 pm | Chinese New Year (16/02/2018) : Closed | Chinese New Year (17/02/2018) : Closed | Chinese New Year (18/02/2018) : Closed
77,"ABEL SOH DIABETES, THYROID AND ENDOCRINE CLINIC",https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=45392,62622008,62622278,"3 MOUNT ELIZABETH, MOUNT ELIZABETH HOSPITAL, #07-08 SINGAPORE 228510",Monday to Friday : 09:00 am to 05:00 pm | Saturday : 09:00 am to 01:00 pm
78,ABLE MEDICAL,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=46012,69093955,69093980,"BLK 201D TAMPINES STREET 21, #01-1129 SINGAPORE 524201",Eve of Chinese New Year (24/01/2020) : 08:30 am to 01:00 pm | Monday to Thursday : 06:00 pm to 09:00 pm | Monday to Saturday : 08:30 am to 01:00 pm | Sunday : Closed
79,ABOUT BRACES DENTAL SURGERY,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=43280,63977177,63976727,"8 SINARAN DRIVE, NOVENA SPECIALIST CENTER, #06-01 SINGAPORE 307470",Public Holiday : Closed | Monday to Friday : 08:00 am to 06:00 pm | Saturday : 08:00 am to 01:30 pm | Sunday : Closed
80,ABOUT DERMATOLOGY,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=47956,65184336,90055607,"1 FARRER PARK STATION ROAD, CONNEXION, #12-18 SINGAPORE 217562",
81,"ABRAHAM'S EAR, NOSE & THROAT SURGERY PTE LTD",https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=48054,67344927,62358287,"290 ORCHARD ROAD, THE PARAGON, #11-10 SINGAPORE 238859",
